Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,All,2022,Entries,Children's homes,309.0
Local Authority,All,2018,Net change,Children's homes,-43.0
For-profit,All,2018,Net change,Children's homes,22.0
For-profit,All,2018,Entries,Children's homes,161.0
For-profit,All,2018,Exits,Children's homes,139.0
Local Authority,All,2018,Exits,Places,182.0
Local Authority,All,2018,Entries,Places,48.0
Third Sector,All,2023,Exits,Places,11.0
Third Sector,All,2018,Exits,Places,155.0
Local Authority,All,2018,Entries,Children's homes,12.0
Third Sector,All,2023,Entries,Children's homes,1.0
Local Authority,All,2018,Exits,Children's homes,55.0
Third Sector,All,2018,Entries,Places,179.0
For-profit,All,2018,Entries,Places,648.0
For-profit,All,2018,Exits,Places,485.0
Third Sector,All,2023,Net change,Places,-9.0
Local Authority,All,2023,Net change,Places,-9.0
For-profit,All,2023,Net change,Places,187.0
Third Sector,All,2023,Net change,Children's homes,-3.0
Local Authority,All,2023,Net change,Children's homes,-4.0
Third Sector,All,2018,Net change,Children's homes,-1.0
For-profit,All,2023,Net change,Children's homes,66.0
For-profit,All,2018,Net change,Places,163.0
Third Sector,All,2018,Net change,Places,24.0
Local Authority,All,2019,Entries,Children's homes,29.0
Local Authority,All,2019,Exits,Children's homes,49.0
Third Sector,All,2019,Entries,Children's homes,8.0
Third Sector,All,2019,Exits,Children's homes,20.0
Third Sector,All,2019,Exits,Places,119.0
Third Sector,All,2015,Exits,Places,11.0
Local Authority,All,2019,Exits,Places,140.0
Local Authority,All,2019,Entries,Places,96.0
For-profit,All,2019,Exits,Places,600.0
For-profit,All,2019,Entries,Places,830.0
For-profit,All,2019,Net change,Children's homes,91.0
Local Authority,All,2019,Net change,Children's homes,-20.0
Third Sector,All,2019,Net change,Children's homes,-12.0
For-profit,All,2019,Net change,Places,230.0
Local Authority,All,2019,Net change,Places,-44.0
Third Sector,All,2019,Net change,Places,-77.0
For-profit,All,2022,Exits,Children's homes,158.0
Third Sector,All,2018,Exits,Children's homes,14.0
Third Sector,All,2018,Entries,Children's homes,13.0
Local Authority,All,2018,Net change,Places,-134.0
Third Sector,All,2023,Entries,Places,2.0
Third Sector,All,2017,Exits,Children's homes,35.0
Third Sector,All,2017,Entries,Children's homes,11.0
For-profit,All,2015,Entries,Children's homes,2.0
For-profit,All,2015,Exits,Children's homes,130.0
Local Authority,All,2015,Exits,Places,16.0
Third Sector,All,2016,Exits,Children's homes,31.0
Local Authority,All,2015,Exits,Children's homes,30.0
For-profit,All,2015,Exits,Places,66.0
For-profit,All,2015,Entries,Places,8.0
Third Sector,All,2016,Entries,Children's homes,7.0
For-profit,All,2016,Entries,Places,650.0
Third Sector,All,2015,Exits,Children's homes,14.0
Local Authority,All,2016,Exits,Children's homes,66.0
Local Authority,All,2016,Entries,Places,58.0
Local Authority,All,2016,Entries,Children's homes,11.0
For-profit,All,2016,Exits,Places,481.0
Third Sector,All,2016,Exits,Places,208.0
Third Sector,All,2016,Entries,Places,54.0
Local Authority,All,2016,Exits,Places,164.0
For-profit,All,2016,Exits,Children's homes,192.0
For-profit,All,2016,Entries,Children's homes,152.0
Third Sector,All,2023,Exits,Children's homes,4.0
For-profit,All,2023,Exits,Children's homes,20.0
Local Authority,All,2023,Entries,Children's homes,7.0
Local Authority,All,2023,Exits,Children's homes,11.0
For-profit,All,2017,Entries,Places,838.0
For-profit,All,2017,Exits,Places,617.0
Local Authority,All,2017,Exits,Children's homes,50.0
Local Authority,All,2017,Entries,Children's homes,17.0
Local Authority,All,2017,Entries,Places,72.0
Local Authority,All,2017,Exits,Places,163.0
For-profit,All,2017,Exits,Children's homes,194.0
For-profit,All,2017,Entries,Children's homes,195.0
Third Sector,All,2017,Entries,Places,60.0
For-profit,All,2019,Entries,Children's homes,238.0
Third Sector,All,2017,Exits,Places,138.0
Local Authority,All,2017,Net change,Children's homes,-33.0
Third Sector,All,2017,Net change,Children's homes,-24.0
For-profit,All,2017,Net change,Places,221.0
Local Authority,All,2017,Net change,Places,-91.0
Third Sector,All,2017,Net change,Places,-78.0
For-profit,All,2023,Entries,Places,289.0
For-profit,All,2023,Exits,Places,102.0
Local Authority,All,2023,Entries,Places,24.0
Local Authority,All,2023,Exits,Places,33.0
For-profit,All,2017,Net change,Children's homes,1.0
For-profit,All,2019,Exits,Children's homes,147.0
Third Sector,All,2019,Entries,Places,42.0
For-profit,All,2023,Entries,Children's homes,86.0
For-profit,All,2020,Entries,Places,1018.0
Local Authority,All,2020,Entries,Children's homes,37.0
Local Authority,All,2020,Exits,Children's homes,38.0
For-profit,All,2021,Exits,Children's homes,150.0
Third Sector,All,2021,Exits,Children's homes,13.0
Third Sector,All,2021,Entries,Children's homes,7.0
Local Authority,All,2022,Entries,Children's homes,26.0
For-profit,All,2021,Net change,Places,160.0
Third Sector,All,2021,Net change,Children's homes,-6.0
Local Authority,All,2021,Net change,Children's homes,-2.0
For-profit,All,2021,Net change,Children's homes,136.0
Local Authority,All,2021,Exits,Children's homes,20.0
Local Authority,All,2021,Entries,Children's homes,18.0
Local Authority,All,2020,Entries,Places,146.0
Third Sector,All,2021,Net change,Places,-75.0
Third Sector,All,2021,Exits,Places,97.0
Third Sector,All,2021,Entries,Places,22.0
Third Sector,All,2022,Net change,Places,-65.0
Local Authority,All,2022,Net change,Places,-39.0
For-profit,All,2022,Net change,Places,454.0
Third Sector,All,2022,Net change,Children's homes,-18.0
Third Sector,All,2022,Exits,Children's homes,24.0
Local Authority,All,2022,Net change,Children's homes,-11.0
For-profit,All,2020,Exits,Places,366.0
For-profit,All,2022,Net change,Children's homes,151.0
Local Authority,All,2022,Exits,Children's homes,37.0
For-profit,All,2021,Entries,Children's homes,286.0
Local Authority,All,2021,Entries,Places,52.0
Local Authority,All,2021,Exits,Places,74.0
For-profit,All,2021,Exits,Places,766.0
For-profit,All,2021,Entries,Places,926.0
Third Sector,All,2022,Entries,Children's homes,6.0
Third Sector,All,2020,Exits,Children's homes,27.0
Local Authority,All,2021,Net change,Places,-22.0
For-profit,All,2020,Exits,Children's homes,133.0
For-profit,All,2022,Exits,Places,585.0
For-profit,All,2022,Entries,Places,1039.0
For-profit,All,2014,Exits,Children's homes,88.0
Local Authority,All,2014,Exits,Places,0.0
Local Authority,All,2022,Exits,Places,136.0
Third Sector,All,2020,Net change,Places,-166.0
Third Sector,All,2014,Exits,Places,0.0
Local Authority,All,2020,Net change,Places,18.0
For-profit,All,2020,Net change,Places,652.0
Third Sector,All,2020,Net change,Children's homes,-13.0
Local Authority,All,2020,Net change,Children's homes,-1.0
Local Authority,All,2022,Entries,Places,97.0
Third Sector,All,2022,Entries,Places,21.0
For-profit,All,2020,Net change,Children's homes,169.0
Third Sector,All,2022,Exits,Places,86.0
Third Sector,All,2014,Exits,Children's homes,10.0
For-profit,All,2014,Exits,Places,0.0
For-profit,All,2020,Entries,Children's homes,302.0
Local Authority,All,2014,Exits,Children's homes,29.0
Third Sector,All,2020,Entries,Children's homes,14.0
Third Sector,All,2020,Entries,Places,54.0
Third Sector,All,2020,Exits,Places,220.0
Local Authority,All,2020,Exits,Places,128.0
For-profit,Barking and Dagenham,2019,Entries,Children's homes,1.0
For-profit,Barking and Dagenham,2022,Entries,Children's homes,2.0
For-profit,Barking and Dagenham,2022,Net change,Places,8.0
For-profit,Barking and Dagenham,2022,Entries,Places,8.0
For-profit,Barking and Dagenham,2021,Entries,Places,3.0
For-profit,Barking and Dagenham,2021,Net change,Places,3.0
For-profit,Barking and Dagenham,2019,Entries,Places,4.0
For-profit,Barking and Dagenham,2022,Net change,Children's homes,2.0
For-profit,Barking and Dagenham,2021,Net change,Children's homes,1.0
For-profit,Barking and Dagenham,2021,Entries,Children's homes,1.0
For-profit,Barking and Dagenham,2018,Net change,Places,5.0
For-profit,Barking and Dagenham,2019,Net change,Places,4.0
For-profit,Barking and Dagenham,2018,Entries,Places,5.0
For-profit,Barking and Dagenham,2018,Entries,Children's homes,1.0
For-profit,Barking and Dagenham,2019,Net change,Children's homes,1.0
For-profit,Barking and Dagenham,2018,Net change,Children's homes,1.0
Local Authority,Barnet,2021,Net change,Children's homes,-2.0
For-profit,Barnet,2022,Net change,Children's homes,1.0
For-profit,Barnet,2017,Entries,Places,2.0
For-profit,Barnet,2016,Exits,Children's homes,1.0
For-profit,Barnet,2020,Entries,Places,8.0
For-profit,Barnet,2022,Entries,Places,5.0
For-profit,Barnet,2022,Net change,Places,5.0
Local Authority,Barnet,2022,Net change,Children's homes,1.0
Local Authority,Barnet,2022,Net change,Places,6.0
For-profit,Barnet,2017,Entries,Children's homes,1.0
Local Authority,Barnet,2021,Exits,Places,6.0
For-profit,Barnet,2020,Net change,Places,8.0
Local Authority,Barnet,2022,Entries,Places,6.0
Local Authority,Barnet,2022,Entries,Children's homes,1.0
For-profit,Barnet,2017,Net change,Places,2.0
For-profit,Barnet,2017,Net change,Children's homes,1.0
For-profit,Barnet,2020,Entries,Children's homes,2.0
For-profit,Barnet,2020,Net change,Children's homes,2.0
Local Authority,Barnet,2021,Net change,Places,-6.0
Local Authority,Barnet,2021,Exits,Children's homes,2.0
For-profit,Barnet,2022,Entries,Children's homes,1.0
For-profit,Barnet,2016,Exits,Places,3.0
For-profit,Barnsley,2022,Entries,Children's homes,1.0
For-profit,Barnsley,2022,Entries,Places,1.0
For-profit,Barnsley,2019,Entries,Places,1.0
For-profit,Barnsley,2016,Exits,Children's homes,2.0
For-profit,Barnsley,2022,Exits,Places,1.0
For-profit,Barnsley,2019,Entries,Children's homes,1.0
For-profit,Barnsley,2019,Net change,Places,1.0
For-profit,Barnsley,2019,Net change,Children's homes,1.0
For-profit,Barnsley,2020,Entries,Children's homes,1.0
For-profit,Barnsley,2020,Net change,Children's homes,1.0
For-profit,Barnsley,2016,Exits,Places,5.0
For-profit,Barnsley,2020,Net change,Places,4.0
For-profit,Barnsley,2022,Exits,Children's homes,1.0
For-profit,Barnsley,2022,Net change,Places,0.0
For-profit,Barnsley,2022,Net change,Children's homes,0.0
For-profit,Barnsley,2017,Net change,Children's homes,1.0
For-profit,Barnsley,2017,Entries,Children's homes,1.0
For-profit,Barnsley,2017,Entries,Places,4.0
For-profit,Barnsley,2020,Entries,Places,4.0
For-profit,Barnsley,2017,Net change,Places,4.0
For-profit,Barnsley,2014,Exits,Children's homes,1.0
Local Authority,Barnsley,2014,Exits,Places,0.0
For-profit,Barnsley,2014,Exits,Places,0.0
Local Authority,Barnsley,2014,Exits,Children's homes,1.0
Third Sector,Bath and North East Somerset,2017,Exits,Children's homes,2.0
Third Sector,Bath and North East Somerset,2017,Net change,Places,0.0
Third Sector,Bath and North East Somerset,2017,Entries,Children's homes,1.0
Third Sector,Bath and North East Somerset,2017,Net change,Children's homes,-1.0
For-profit,Bath and North East Somerset,2016,Entries,Children's homes,1.0
Third Sector,Bath and North East Somerset,2017,Exits,Places,5.0
Third Sector,Bath and North East Somerset,2017,Entries,Places,5.0
For-profit,Bath and North East Somerset,2016,Entries,Places,4.0
For-profit,Bedford,2021,Net change,Places,5.0
For-profit,Bedford,2022,Net change,Children's homes,0.0
For-profit,Bedford,2017,Entries,Places,8.0
For-profit,Bedford,2017,Entries,Children's homes,2.0
For-profit,Bedford,2020,Entries,Children's homes,1.0
For-profit,Bedford,2021,Net change,Children's homes,2.0
For-profit,Bedford,2017,Net change,Children's homes,0.0
Third Sector,Bedford,2020,Net change,Places,-1.0
For-profit,Bedford,2020,Net change,Places,3.0
Third Sector,Bedford,2018,Exits,Children's homes,2.0
For-profit,Bedford,2020,Entries,Places,3.0
For-profit,Bedford,2021,Entries,Children's homes,2.0
For-profit,Bedford,2019,Exits,Children's homes,2.0
For-profit,Bedford,2022,Entries,Places,1.0
For-profit,Bedford,2015,Exits,Places,0.0
For-profit,Bedford,2022,Net change,Places,-1.0
For-profit,Bedford,2019,Exits,Places,3.0
For-profit,Bedford,2019,Net change,Places,-3.0
Third Sector,Bedford,2020,Net change,Children's homes,-2.0
For-profit,Bedford,2019,Net change,Children's homes,-2.0
Third Sector,Bedford,2018,Exits,Places,8.0
For-profit,Bedford,2022,Entries,Children's homes,1.0
For-profit,Bedford,2020,Net change,Children's homes,1.0
For-profit,Bedford,2017,Net change,Places,3.0
Third Sector,Bedford,2018,Net change,Children's homes,-2.0
Third Sector,Bedford,2020,Exits,Places,1.0
For-profit,Bedford,2021,Entries,Places,5.0
For-profit,Bedford,2015,Exits,Children's homes,2.0
For-profit,Bedford,2022,Exits,Places,2.0
For-profit,Bedford,2016,Entries,Places,4.0
For-profit,Bedford,2017,Exits,Places,5.0
For-profit,Bedford,2022,Exits,Children's homes,1.0
For-profit,Bedford,2017,Exits,Children's homes,2.0
For-profit,Bedford,2016,Entries,Children's homes,1.0
Third Sector,Bedford,2020,Exits,Children's homes,2.0
Third Sector,Bedford,2018,Net change,Places,-8.0
For-profit,Bexley,2017,Net change,Children's homes,2.0
For-profit,Bexley,2022,Entries,Places,7.0
For-profit,Bexley,2020,Net change,Places,7.0
Third Sector,Bexley,2017,Exits,Children's homes,2.0
For-profit,Bexley,2022,Net change,Children's homes,2.0
Third Sector,Bexley,2017,Net change,Children's homes,-1.0
For-profit,Bexley,2020,Net change,Children's homes,2.0
For-profit,Bexley,2021,Entries,Places,4.0
For-profit,Bexley,2021,Net change,Children's homes,1.0
Third Sector,Bexley,2017,Entries,Places,10.0
For-profit,Bexley,2018,Net change,Children's homes,-1.0
Third Sector,Bexley,2017,Exits,Places,10.0
For-profit,Bexley,2020,Entries,Children's homes,2.0
Third Sector,Bexley,2017,Entries,Children's homes,1.0
For-profit,Bexley,2022,Net change,Places,7.0
Third Sector,Bexley,2017,Net change,Places,0.0
For-profit,Bexley,2018,Net change,Places,-10.0
For-profit,Bexley,2018,Exits,Places,10.0
For-profit,Bexley,2021,Entries,Children's homes,1.0
For-profit,Bexley,2017,Net change,Places,13.0
For-profit,Bexley,2021,Net change,Places,4.0
For-profit,Bexley,2017,Entries,Places,13.0
For-profit,Bexley,2017,Entries,Children's homes,2.0
For-profit,Bexley,2020,Entries,Places,7.0
For-profit,Bexley,2018,Exits,Children's homes,1.0
For-profit,Bexley,2022,Entries,Children's homes,2.0
Third Sector,Birmingham,2022,Entries,Children's homes,1.0
Third Sector,Birmingham,2020,Net change,Places,-1.0
For-profit,Birmingham,2021,Entries,Children's homes,7.0
Third Sector,Birmingham,2020,Exits,Children's homes,1.0
For-profit,Birmingham,2019,Net change,Children's homes,7.0
For-profit,Birmingham,2022,Exits,Children's homes,3.0
For-profit,Birmingham,2017,Exits,Places,3.0
For-profit,Birmingham,2016,Entries,Places,60.0
For-profit,Birmingham,2016,Entries,Children's homes,14.0
Local Authority,Birmingham,2017,Net change,Children's homes,-2.0
For-profit,Birmingham,2022,Exits,Places,6.0
For-profit,Birmingham,2023,Net change,Places,7.0
Local Authority,Birmingham,2019,Net change,Children's homes,1.0
Local Authority,Birmingham,2018,Exits,Children's homes,8.0
Third Sector,Birmingham,2017,Entries,Places,6.0
Third Sector,Birmingham,2017,Exits,Places,12.0
For-profit,Birmingham,2017,Net change,Children's homes,2.0
For-profit,Birmingham,2019,Net change,Places,23.0
For-profit,Birmingham,2023,Entries,Places,7.0
For-profit,Birmingham,2016,Exits,Places,12.0
